LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1588                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
1885                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
190                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
2277                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
2284                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
2467                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
2570                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
2880                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
2996                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
3010                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
3113                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
401                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
21                              2                   0.00100             14                  1.91                7.34                0                   0.011               0                   529015              182267              F 
1008                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
1271                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
1403                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
1584                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
1775                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
3095                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
3193                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
43                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
692                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529339              182305              F 
1034                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182125              F 
